Cluster,m/z_ion_center,DT_center,Peak Intensity,Amplitude_mz,Amplitude_dt
-1,192.28683361371404,2.5443450979066324,17180,5665.580174850398,4268.84174462712
0,59.01096,5.647129505135752,769,769.0,731.0221666822293
1,59.01362,8.453000742564585,1931,1931.0,1931.0
2,59.016290000000005,6.294496824276641,756,756.0,756.0
3,59.01895999999999,5.786371817406847,190,190.0,169.8893109986487
4,59.021630000000016,5.662969149869889,123,123.0,100.6847737140116
5,61.986640000000016,5.658301223185332,2901,2901.0,2848.3641564611403
6,61.98937,26.986261588496834,10804,10804.0,8384.2237413592
7,61.9921,6.4261379422582605,747,747.0,620.5006561542824
8,61.99484,5.534605414502311,72,72.0,74.69431122524657
9,92.92626,5.711700083903767,265,265.0,258.15308345351514
10,92.92961,6.79023892822117,424,424.0,250.81747871800883
11,94.92154,5.620270270270271,24,24.0,24.0
12,116.96561000000001,5.7683509264350175,1299,1299.0,1391.2678490559904
13,116.96936000000001,5.66511442591508,1837,1837.0,1810.3422610241885
14,116.97311999999998,7.072082960800895,1140,1140.0,984.4538305397264
15,116.97687,5.45,34,34.0,34.0
16,118.96417,5.820421375211102,427,427.0,374.12976333033924
17,118.96796,7.241935110430531,1033,1033.0,640.7790240643903
18,118.97175,6.959234969565696,1014,1014.0,629.684724943423
19,119.94318999999999,5.6106542276186735,195,195.0,216.47434938511455
20,141.00834,5.749683881677245,1265,1265.0,1374.9527702410628
21,141.01246000000003,5.702937127739936,3263,3263.0,3248.179515199627
22,141.01659,5.954777255617163,169,169.0,123.32129484357672
23,143.98820999999998,5.732153846153846,73,73.0,73.0
24,143.99237,5.45,30,30.0,30.0
25,146.96134999999998,5.754824129121104,906,906.0,913.2996020436274
26,146.96556,5.45,152,152.0,152.0
27,146.96977,5.45,111,111.0,111.0
28,146.97397,5.39,21,21.0,21.0
29,146.97818,5.45,70,70.0,70.0
30,248.9775,5.449999999999999,689,689.0,689.0
31,301.95865,5.449999999999999,172,172.0,172.0
32,301.96468,5.45,95,95.0,95.0
33,428.9601799999999,5.70502423263328,124,124.0,124.0
34,572.9673400000001,5.509999909096101,39,39.0,39.00000004335098
35,572.97566,5.510053529572891,110,110.0,110.00000006013043
36,94.92492,5.569999999999999,60,60.0,60.0
37,146.95714,5.838863059066935,84,84.0,72.95684089002712
38,328.96795,5.720395270809325,129,129.0,142.07000637240384
39,401.94522,5.569999999999999,28,28.0,28.0
40,72.99274000000001,5.750008748968678,30,30.0,30.000000014198225
41,116.98062999999999,5.749991927622606,21,21.0,21.000000007086097
42,119.93938,5.7499317555937,28,28.0,28.000000017106277
43,141.02483,7.054215627022015,751,751.0,760.3832623106309
