Cluster,m/z_ion_center,DT_center,Retention Time (sec)_center,Peak Intensity,Amplitude_mz,Amplitude_dt,Amplitude_rt,Sigma_rt
0,149.0219184397156,25.28522262093528,9.617562494909423,48956.0,48956.0,50809.59584249243,48886.65333596125,8.115919320433504
1,905.7517054675031,39.682700291906016,15.892146769527947,6826.0,6826.0,6262.9971645859505,6406.317209713103,7.008028286545761
2,603.5318483551426,39.50229636408233,4.23100000002,633.0,633.0,633.0000023491413,633.0,0.0
3,149.0219184397156,15.158258321473703,209.72030477854148,3175566.0,3175566.0,2998598.010672294,2070544.566980068,158.6043305101001
4,142.15717472929884,15.183256833794855,-27.14712997845614,260485.0,260485.0,252742.69324538705,206235.76469787775,236.28269135956458
5,158.15266691459962,15.815767369523641,-39.668513921405044,1164418.0,1164418.0,1449752.9702373673,864856.0547295092,412.4357122126835
6,160.16971004337688,15.749394095178278,-185.13680648862058,1874619.0,1874619.0,1804750.6596054255,1856574.5142742745,391.2166600597898
7,153.13586775349074,16.23333394289153,10.277426657631572,48795.0,48795.0,48740.11833818955,47379.82957355247,8.744271113995309
8,215.12167215951973,17.165132159693897,323.58611624586536,22288000.0,22288000.0,22288355.729712967,22288000.0,266.03507500001706
9,184.20415484859726,17.473830293274037,184.30011675527743,201407.0,201407.0,200469.84136227582,151729.5125777254,157.67566085912324
10,186.21919404731133,17.59241472437458,-21.931888543779998,840804.0,840804.0,810878.1608691874,537010.431467376,1837.6642825908707
11,202.2098885964,17.710893495009056,6.594630966835189,6322.0,6322.0,6854.936674500671,6322.0,7.5935000000100015
12,202.21483110196394,17.874656949007115,170.1717801410628,2785925.0,2785925.0,2789699.8336900044,1942602.4809666832,227.31510822056904
13,199.12774680922806,17.92791069598388,732.2517448411858,27046854.0,27046854.0,22337396.111778315,25382511.112073552,428.51235170513905
14,273.1662461575408,19.098516073398272,592.5021134335738,9184807.0,9184807.0,8634847.659232711,7695346.744424984,369.30081967666257
15,256.182162466253,19.948351181838863,338.6533712694834,2492097.0,2492097.0,2461926.0978339976,2492097.0,259.51900000002
16,270.31866562602596,21.744075805170453,101.90900014190859,71241.0,71241.0,72519.67167932287,53120.74746133468,96.2741328150399
17,288.29443221026895,22.61208225340871,132.34930950281085,63791.0,63791.0,43456.874504748856,27195.89662944312,98.941324773708
18,340.279911490834,23.45340663852421,106.54852300820367,1121965.0,1121965.0,1074444.7782894962,904432.6152650084,186.2856210308052
19,340.2863230377245,23.4187078708347,137.92104288883493,457571.0,457571.0,368770.7624560863,283296.5706712051,200.75000996958985
20,337.28593392085963,23.615506988550766,125.73997648180892,273822.0,273822.0,271681.0409383963,209326.97627903186,196.77912404824127
21,377.2598199517842,24.060500106853052,5.49199999998,219.0,219.0,219.00000009779163,219.0,0.0
22,391.2811483804614,25.647907215190823,9.612413957588936,84770.0,84770.0,87389.75561979723,84770.0,5.0625
23,391.2948989812386,25.91395957859153,5.49199999998,1652.0,1652.0,1652.0,1652.0,0.0
24,413.2660939320611,26.50870123279387,390.71470407175843,17056110.0,17056110.0,12809731.057188196,11186304.371976463,397.7979552450645
25,413.2731597113617,26.05130040701769,7.066994204626672,9045.0,9045.0,9045.0,9444.6721997397,3.151951865053483
26,413.2590282058267,26.840758723054186,6.185944793454238,62322.0,62322.0,58724.603507745356,61080.892607300884,10.670454064455956
27,872.7827298716578,39.14319218583529,5.49199999998,102.0,102.0,102.0000001378745,102.0,0.0
28,879.7378838622068,39.16059789720304,9.233743428290396,3946.0,3946.0,2786.94147519656,3348.4295100983395,2.422924818234988
29,879.7585021936395,39.33016447259859,6.710599351371434,1787.0,1787.0,1788.9885106065628,1787.0,1.2705000000000006
30,900.810687016238,39.94301435286484,11.166446448089824,2951.0,2951.0,2536.3394078788174,3008.6946883025244,2.5917993748971675
31,898.7984663851287,39.622000000129624,5.49199999998,207.0,207.0,207.00000019504182,207.0,0.0
32,900.8002552392062,39.86310602991008,12.740544808831526,7924.0,7924.0,7823.8982278905305,7912.078026185329,4.815450938531638
33,900.831550822291,39.66565465371902,9.487592097685749,1206.0,1206.0,1538.6215330587347,1206.0,2.5415000000099996
34,939.8006462657692,40.5797000000013,5.49199999998,387.0,387.0,387.0000004664977,387.0,0.0
35,942.8291615808942,40.83249787417151,7.972960142108373,604.0,604.0,619.8785750307559,604.0,5.0625
36,413.2943574263633,23.34230000000155,6.77200000002,60.0,60.0,60.00000003701966,60.0,0.0
37,319.2768666545608,23.712552527580065,8.72087275289977,990.0,990.0,1101.2238272381362,990.0,2.532
38,149.0176755175727,25.313173342973318,8.544616038488144,17917.0,17917.0,24512.983358405272,17683.48802278982,3.055758506422869
39,413.2590282058268,36.733327939050156,11.353874126161358,1287.0,1287.0,1278.7434732725062,1287.0,3.792
40,853.7272910041467,38.54470802339412,6.77200000002,321.0,321.0,321.0000005457115,321.0,0.0
41,575.4994047456584,38.4784725658295,9.718864160185843,1715.0,1715.0,2270.6679706271743,1715.0,2.532
42,877.728756760894,38.78409598865089,6.77200000002,270.0,270.0,270.00000108328265,270.0,0.0
