Spectrum Number,MS Level,DT,Retention Time (sec),Min m/z,Base Peak m/z,Base Peak Intensity,CCS (Å^2),Cluster
1,1,0.479136,3.2489999999999997,61.98663586246479,61.98936935492852,21.0,4.768043556734583,-1
2,1,0.59892,3.2489999999999997,61.98663586246479,61.98936935492852,21.0,5.812256367341519,-1
3,1,0.718704,3.2489999999999997,61.98663586246479,61.98936935492852,21.0,6.856469177948454,-1
4,1,1.676976,3.2489999999999997,61.98390243027217,61.98663586246479,33.0,15.210276033291516,0
5,1,1.79676,3.2489999999999997,61.98390243027217,61.98663586246479,78.0,16.254496009169337,1
6,1,1.916544,3.2489999999999997,61.98390243027217,61.98663586246479,78.0,17.298715985047156,2
7,1,2.036328,3.2489999999999997,61.98390243027217,61.98663586246479,45.0,18.34293596092498,3
8,1,2.156112,3.2489999999999997,116.97311908240987,141.01658740170942,78.0,17.91291348203106,4
9,1,2.275896,3.2489999999999997,116.97311908240987,141.01658740170942,78.0,18.877728648581616,5
10,1,2.39568,3.2489999999999997,116.97311908240987,141.01658740170942,78.0,19.84254381513217,6
11,1,2.515464,3.2489999999999997,116.97311908240987,116.97687410993895,32.0,20.807358981682725,7
12,1,2.635248,3.2489999999999997,116.97311908240987,116.97687410993895,32.0,21.77217414823328,8
13,1,2.755032,3.2489999999999997,116.97311908240987,116.97687410993895,32.0,22.736989314783834,9
14,1,3.234168,3.2489999999999997,141.0330795326508,141.03720269612765,24.0,26.154338891504345,10
15,1,3.353952,3.2489999999999997,141.0330795326508,141.03720269612765,24.0,27.10312313182644,11
16,1,3.713304,3.2489999999999997,61.98390243027217,61.98663586246479,50.0,32.96201562321447,12
17,1,3.833088,3.2489999999999997,61.98390243027217,61.98663586246479,50.0,34.00623559909229,13
18,1,3.952872,3.2489999999999997,61.98390243027217,61.98663586246479,50.0,35.050455574970115,14
19,1,5.030928,3.2489999999999997,59.01362418982685,59.01629132379705,41.0,44.79520367922397,15
20,1,5.150712,3.2489999999999997,59.01362418982685,59.01629132379705,41.0,45.84757022775937,16
