m/z_ion_center,CCS (Å^2),Peak Intensity
192.2868,20.23,17180
59.011,50.21,769
59.0136,74.86,1931
59.0163,55.9,756
59.019,51.43,190
59.0216,50.35,123
61.9866,49.92,2901
61.9894,235.84,10804
61.9921,56.61,747
61.9948,48.84,72
92.9263,47.7,265
92.9296,56.6,424
94.9215,46.83,24
116.9656,47.01,1299
116.9694,46.18,1837
116.9731,57.51,1140
116.9769,44.44,34
118.9642,47.35,427
118.968,58.78,1033
118.9718,56.51,1014
119.9432,45.63,195
141.0083,46.08,1265
141.0125,45.71,3263
141.0166,47.7,169
143.9882,45.86,73
143.9924,43.63,30
146.9613,45.97,906
146.9656,43.56,152
146.9698,43.56,111
146.974,43.09,21
146.9782,43.56,70
248.9775,42.11,689
301.9586,41.73,172
301.9647,41.73,95
428.9602,43.11,124
572.9673,41.33,39
572.9757,41.33,110
94.9249,46.42,60
146.9571,46.63,84
328.9679,43.62,129
401.9452,42.19,28
72.9927,49.51,30
116.9806,46.86,21
119.9394,46.75,28
141.0248,56.41,751
322.9567,43.43,54
328.9617,43.39,106
528.969,43.04,141
572.984,43.11,68
588.9926,42.65,55
141.0207,56.44,1495
142.0161,47.46,61
142.0202,49.36,156
142.0244,46.53,22
146.9656,47.3,97
146.9698,47.75,85
216.9828,45.56,89
248.972,44.85,23
428.9674,44.55,163
428.9746,44.34,51
528.961,44.08,61
528.977,44.08,23
118.9755,54.52,287
143.984,47.43,38
143.9924,48.33,81
146.974,48.09,229
428.9961,44.79,57
61.9948,56.59,230
92.933,51.02,59
94.9249,50.96,61
94.9283,52.19,270
116.9769,55.74,1376
118.9793,49.62,86
141.029,48.46,120
143.9965,48.38,21
72.9957,53.45,39
116.9806,55.6,346
142.0244,49.38,25
317.9846,47.08,63
317.9908,47.08,36
61.9976,55.86,122
94.9317,52.35,69
121.9439,51.49,23
428.8308,47.48,21
528.945,47.2,21
59.011,57.46,28
116.9844,55.33,282
141.0166,55.99,695
528.969,49.74,113
92.933,56.18,159
94.9249,58.17,216
143.9924,53.12,55
482.9288,50.45,50
59.019,63.14,356
118.9793,56.23,47
121.9439,56.33,125
141.029,56.45,383
141.0331,56.12,260
216.993,53.03,21
293.167,51.78,46
293.173,51.78,32
572.9757,51.6,86
572.984,51.11,30
572.9923,51.11,82
94.9317,57.47,49
116.9881,55.86,47
142.0244,57.79,84
328.9868,52.9,75
328.9931,52.44,75
329.012,52.92,33
59.0216,62.56,133
59.0243,62.62,35
72.9957,65.3,33
92.9263,63.67,736
141.0372,57.12,44
142.0202,58.25,330
297.1515,53.57,38
72.9927,62.28,48
116.9694,61.47,5878
428.989,54.2,271
591.0166,53.74,49
141.0125,61.15,5522
248.972,55.84,26
328.9742,56.38,92
59.011,66.98,251
72.9898,63.3,26
116.9656,62.0,2788
118.9642,62.04,885
118.9793,60.09,54
141.0083,61.16,2699
588.9926,55.84,61
589.001,55.52,63
589.0095,55.52,61
92.933,62.38,33
119.9432,61.52,171
142.0161,61.79,234
143.9882,60.24,74
428.9602,57.59,162
72.9927,69.16,46
92.9229,63.37,21
94.9215,64.37,74
328.9617,58.32,33
428.953,57.33,24
428.9674,58.11,55
94.9249,69.32,223
116.9731,65.02,63
528.953,59.0,197
528.961,58.43,129
528.969,58.34,27
61.9921,234.79,6045
116.9844,63.77,32
142.0244,62.68,30
267.9919,60.2,28
59.0163,125.16,617
72.9957,76.6,188
92.9296,67.45,330
92.933,67.29,109
116.9806,65.22,33
118.9755,64.64,54
293.167,61.35,95
59.019,78.75,151
116.9769,65.94,113
428.9746,60.92,50
428.9818,61.37,46
92.9363,68.32,21
94.9215,68.15,23
94.9283,71.3,69
119.947,67.47,115
119.9508,67.38,85
119.9546,67.32,54
143.9882,67.42,143
143.9924,66.48,46
293.173,62.68,31
118.9642,68.42,130
118.9755,67.6,75
119.9432,67.93,35
119.9584,67.83,48
329.9763,63.7,25
61.9866,234.75,9186
61.9948,79.53,407
61.9976,74.24,32
72.9987,72.4,25
127.0025,68.96,34
141.0166,68.34,65
143.9965,67.27,46
366.9837,63.86,27
59.0216,77.24,72
142.0202,69.28,78
528.961,64.49,143
528.969,64.5,242
528.977,64.61,144
92.9296,73.93,330
92.933,73.8,135
116.9806,71.26,65
116.9844,70.94,22
118.9755,72.21,126
528.985,65.39,21
531.0072,65.38,205
59.011,77.91,35
61.9976,78.44,264
72.9927,94.32,146
116.9731,73.29,229
116.9769,72.52,60
143.9924,71.92,298
143.9965,71.78,140
62.0003,78.64,101
141.0207,71.67,28
143.9882,73.73,171
144.0007,71.47,41
146.9698,71.43,151
146.974,71.42,97
146.9782,72.04,85
286.9819,68.58,65
72.9987,78.4,62
118.9793,73.24,46
141.0166,72.62,31
146.9656,72.37,25
121.9401,75.27,83
121.9439,74.51,24
146.9824,72.85,22
59.011,83.65,162
92.9263,78.38,224
116.9656,77.13,1526
116.9694,77.03,641
118.9642,77.36,524
141.0083,75.79,1851
141.0125,76.1,662
142.0161,74.55,28
146.9614,74.76,329
428.9602,70.25,25
473.9677,70.05,283
94.9215,78.18,79
119.9432,77.44,152
142.0202,75.17,88
142.0244,74.95,23
146.9571,75.16,147
216.9879,73.25,80
328.968,72.36,155
401.9383,71.29,21
572.9757,70.6,29
59.0216,84.23,49
528.945,71.63,2113
528.953,71.63,556
94.9283,79.93,24
528.961,72.52,150
528.977,72.37,61
573.0172,72.38,30
72.9957,84.99,163
143.9924,78.78,76
528.969,73.41,34
528.985,73.41,98
59.019,87.4,35
116.9731,103.34,2504
116.9769,88.81,656
116.9806,81.02,70
141.0207,78.8,29
142.0244,79.49,102
