m/z,Retention Time (sec),Drift Time (ms),Intensity,count
141.0159608608791,8.016101298703324,23.067909381818183,887799.0,770
217.0004059725451,88.63606632144023,18.49064150191571,197501.0,783
146.9609760918492,18.68884451219451,9.153980926829268,74331.0,328
146.96478893930805,17.738958627646678,29.531288694248236,1295758.0,991
187.0390091903283,16.2144400000032,17.196191040000002,12334.0,25
141.01595590716374,321.1928492990786,22.525253679772888,23231656.0,28180
61.98859596728012,62.830197756591126,26.900064,451704.0,2184
59.0141702645382,36.88397318892642,17.78440094117647,20729.0,187
222.91222224391217,61.64413246468411,17.28827704109589,16465.0,219
141.01424105160095,35.63484753728132,11.667083208121827,18250.0,197
141.01396693222046,67.259292956577,10.888776074766355,31019.0,321
188.93763405305867,86.29236470562729,16.919986342541435,14059.0,181
248.9686099475279,546.7376853834436,13.161394105263158,703279.0,4123
141.01538903769017,107.7562975206709,13.145551537190084,10388.0,121
218.02846421073224,149.8931846484381,17.65256808,59619.0,200
486.9666695530878,238.42036205527182,26.799044493011436,97264.0,787
141.01758358844359,149.70114371257617,2.998903616766467,14592.0,167
141.01857385423833,151.9387470355736,13.595247272727274,18797.0,253
220.02381370115833,174.32671111111267,17.143752266666667,18321.0,90
207.01054367586835,180.08334693877717,18.659413714285716,25716.0,49
207.01104429124862,178.8848962963009,26.44564533333333,18680.0,135
218.02836624933394,202.3789319371715,17.675979267015705,110994.0,191
217.00058520159277,265.84267859467866,18.513045,194960.0,672
219.02738619701174,202.31172000000478,17.42617632,11812.0,25
288.0297073403298,235.04005333333083,19.15585728,50721.0,150
219.02550980052266,225.5407391304339,17.623872000000002,10031.0,23
218.02811297672918,274.19562241512045,17.649654814814816,487038.0,405
434.94198805583204,260.42098412697715,24.749655999999998,18275.0,126
220.0221808301852,255.29289743588924,17.10146953846154,13171.0,39
219.0269458170265,265.9479972098143,17.5398,17046.0,28
444.9577260122677,284.8713419306437,25.175971397260273,13797.0,146
220.0233441312363,279.33286206896275,17.104329103448276,20427.0,58
288.02947463365706,301.34693969849036,19.226836824120603,111785.0,199
219.02694581485278,282.4403571428507,17.706642,12744.0,28
417.20731911358513,291.3703285714234,26.4157944,15551.0,70
434.94123263942663,328.5644293193714,24.74448954973822,26852.0,191
262.03471113557185,306.64303030302636,18.913167636363635,22139.0,66
220.02293136245257,327.36814619882983,17.079377122807017,69907.0,171
301.95020360114086,326.997178947367,17.845294231578947,305153.0,95
262.03581488943956,691.173682513844,18.96183667924528,7529767.0,2438
218.02809968593505,661.3182505555562,17.65762562666667,17989548.0,3600
288.02983718943574,630.5656198731701,19.400231151943462,4481133.0,1981
431.2239308598075,350.15933653846554,27.130500115384617,90002.0,208
232.04546576330867,363.1320747663606,18.2631418317757,24090.0,107
220.0220415571376,373.43887671233176,17.05034991780822,34618.0,73
