Data file,W:\Sampler Research\Paired Analysis\Demultiplexed\Tune Mix Folder 2\87 2046 - Mitra.d.DeMP.d
Frame range,168,785
Frame time range,3.037,14.058,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Mass,Drift,Abundance
116.09776,0.17,24
140.14811,0.17,214
280.44182,0.17,27
296.47538,0.17,603
298.47958,0.17,25
140.14811,0.33,51
420.73552,0.33,266
116.09776,0.50,55
140.14811,0.50,68
420.73552,0.50,266
116.09776,0.67,64
140.14811,0.67,197
264.40825,0.67,22
312.50895,0.67,27
420.73552,0.67,266
140.14811,0.83,284
312.50895,0.83,53
116.09776,1.00,23
140.14811,1.00,305
206.28657,1.00,22
264.40825,1.00,27
312.50895,1.00,53
140.14811,1.17,190
206.28657,1.17,22
140.14811,1.33,218
248.37468,1.33,781
599.10894,1.33,98
140.14811,1.50,439
248.37468,1.50,781
296.47538,1.50,23
324.53412,1.50,113
599.10894,1.50,98
140.14811,1.67,624
324.53412,1.67,113
140.14811,1.83,685
218.31175,1.83,22
280.44182,1.83,22
296.47538,1.83,54
310.50475,1.83,4643
324.53412,1.83,723
328.54251,1.83,54
338.56349,1.83,159
140.14811,2.00,235
218.31175,2.00,22
310.50475,2.00,4760
324.53412,2.00,723
328.54251,2.00,54
338.56349,2.00,159
140.14811,2.17,73
218.31175,2.17,22
310.50475,2.17,116
140.14811,2.34,326
296.47538,2.34,21
310.50475,2.34,116
140.14811,2.50,292
296.47538,2.50,57
140.14811,2.67,179
296.47538,2.67,57
324.53412,2.67,22
370.63063,2.67,32
61.98448,2.84,22
116.09776,2.84,50
140.14811,2.84,303
254.38727,2.84,23
324.53412,2.84,178
366.62223,2.84,75
370.63063,2.84,32
116.09776,3.00,50
140.14811,3.00,335
254.38727,3.00,23
264.40825,3.00,22
324.53412,3.00,178
366.62223,3.00,120
140.14811,3.17,349
254.38727,3.17,23
264.40825,3.17,22
310.50475,3.17,29
366.62223,3.17,138
140.14811,3.34,576
296.47538,3.34,44
310.50475,3.34,29
140.14811,3.50,1027
254.38727,3.50,29
296.47538,3.50,115
310.50475,3.50,85
140.14811,3.67,1857
254.38727,3.67,29
296.47538,3.67,115
310.50475,3.67,85
324.53412,3.67,38
366.62223,3.67,62
398.68937,3.67,42
472.84461,3.67,826
474.84881,3.67,87
140.14811,3.84,1319
324.53412,3.84,38
366.62223,3.84,62
398.68937,3.84,42
472.84461,3.84,826
474.84881,3.84,87
140.14811,4.00,641
310.50475,4.00,32
324.53412,4.00,87
398.68937,4.00,42
140.14811,4.17,683
310.50475,4.17,32
324.53412,4.17,49
116.09776,4.34,39
140.14811,4.34,1002
420.73552,4.34,38
116.09776,4.50,64
140.14811,4.50,1052
254.38727,4.50,23
310.50475,4.50,35
420.73552,4.50,38
116.09776,4.67,21
140.14811,4.67,764
310.50475,4.67,35
338.56349,4.67,85
116.09776,4.84,32
140.14811,4.84,1127
290.46279,4.84,28
338.56349,4.84,167
368.62643,4.84,46
116.09776,5.00,63
140.14811,5.00,1029
218.31175,5.00,49
290.46279,5.00,30
324.53412,5.00,29
338.56349,5.00,59
116.09776,5.17,113
140.14811,5.17,789
218.31175,5.17,264
324.53412,5.17,29
338.56349,5.17,59
116.09776,5.34,108
140.14811,5.34,582
218.31175,5.34,196
324.53412,5.34,29
140.14811,5.50,897
310.50475,5.50,38
324.53412,5.50,209
338.56349,5.50,1130
140.14811,5.67,1115
310.50475,5.67,38
324.53412,5.67,209
338.56349,5.67,1130
140.14811,5.84,533
324.53412,5.84,21
140.14811,6.00,277
324.53412,6.00,21
116.09776,6.17,21
140.14811,6.17,253
324.53412,6.17,21
480.86139,6.17,52
116.09776,6.34,21
140.14811,6.34,360
324.53412,6.34,21
480.86139,6.34,52
140.14811,6.50,328
258.39566,6.50,29
280.44182,6.50,23
324.53412,6.50,21
140.14811,6.67,318
258.39566,6.67,29
280.44182,6.67,23
140.14811,6.84,537
280.44182,6.84,23
116.09776,7.01,21
140.14811,7.01,1394
116.09776,7.17,70
140.14811,7.17,1496
324.53412,7.17,26
116.09776,7.34,143
140.14811,7.34,1102
292.46699,7.34,234
302.48797,7.34,30
324.53412,7.34,64
338.56349,7.34,27
474.84881,7.34,757
116.09776,7.51,176
140.14811,7.51,6444
292.46699,7.51,234
296.47538,7.51,51
302.48797,7.51,172
310.50475,7.51,213
324.53412,7.51,60
338.56349,7.51,27
472.84461,7.51,160
474.84881,7.51,808
116.09776,7.67,78
140.14811,7.67,6042
296.47538,7.67,51
302.48797,7.67,172
310.50475,7.67,213
324.53412,7.67,33
452.80265,7.67,120
472.84461,7.67,160
474.84881,7.67,66
116.09776,7.84,51
140.14811,7.84,3737
280.44182,7.84,25
302.48797,7.84,172
310.50475,7.84,173
324.53412,7.84,64
338.56349,7.84,30
452.80265,7.84,120
472.84461,7.84,160
474.84881,7.84,66
116.09776,8.01,79
140.14811,8.01,705
280.44182,8.01,25
324.53412,8.01,64
116.09776,8.17,25
140.14811,8.17,1059
324.53412,8.17,64
61.98448,8.34,49
116.09776,8.34,102
140.14811,8.34,1167
308.50056,8.34,58
310.50475,8.34,367
61.98448,8.51,49
116.09776,8.51,82
140.14811,8.51,1195
308.50056,8.51,58
310.50475,8.51,367
338.56349,8.51,78
340.56769,8.51,42
116.09776,8.67,243
140.14811,8.67,1720
308.50056,8.67,58
332.55091,8.67,24
338.56349,8.67,78
340.56769,8.67,42
116.09776,8.84,172
140.14811,8.84,2278
310.50475,8.84,21
332.55091,8.84,24
480.86139,8.84,23
116.09776,9.01,189
140.14811,9.01,2700
218.31175,9.01,22
310.50475,9.01,21
332.55091,9.01,24
480.86139,9.01,73
116.09776,9.17,187
140.14811,9.17,2844
218.31175,9.17,68
296.47538,9.17,30
310.50475,9.17,120
480.86139,9.17,73
116.09776,9.34,91
140.14811,9.34,5401
218.31175,9.34,48
280.44182,9.34,27
310.50475,9.34,120
474.84881,9.34,21
116.09776,9.51,128
140.14811,9.51,7668
278.43762,9.51,21
280.44182,9.51,27
310.50475,9.51,120
324.53412,9.51,228
338.56349,9.51,222
474.84881,9.51,21
530.96629,9.51,25
116.09776,9.67,24
140.14811,9.67,2597
278.43762,9.67,21
310.50475,9.67,33
324.53412,9.67,228
338.56349,9.67,222
116.09776,9.84,25
140.14811,9.84,692
116.09776,10.01,80
140.14811,10.01,440
296.47538,10.01,44
310.50475,10.01,83
472.84461,10.01,94
116.09776,10.17,46
140.14811,10.17,544
