Data file,C:\Users\grego\OneDrive - University of North Carolina at Chapel Hill\Academic\Data from Kimberley\O157_Lip_Allion_5bit_Pos_001_DI3.d.DeMP.d
Frame range,11,82
Frame time range,0.281,1.780,minutes
Drift units,Drift Time (ms)
Mass units,Mass-To-Charge (m/z)
Fragmentation Filter: High Only
Mass,Drift,Abundance
103.12166,0.04,307
103.12519,0.04,248
103.12872,0.04,101
103.13225,0.04,141
103.13578,0.04,118
103.13931,0.04,76
103.14284,0.04,55
103.14637,0.04,21
103.14990,0.04,19
103.15343,0.04,30
110.10086,0.04,41
110.10451,0.04,0
110.10815,0.04,17
156.06590,0.04,13
156.07024,0.04,13
156.09629,0.04,2
175.11111,0.04,558
175.13411,0.04,43
175.14331,0.04,50
175.14791,0.04,46
175.15251,0.04,48
175.15711,0.04,0
175.16171,0.04,28
175.16631,0.04,0
175.17091,0.04,16
175.17551,0.04,8
175.18011,0.04,0
175.18471,0.04,3
244.15469,0.04,327
244.16012,0.04,255
244.16555,0.04,159
244.17098,0.04,105
244.17642,0.04,77
244.19271,0.04,7
313.26264,0.04,18
313.28110,0.04,85
313.31186,0.04,18
466.29791,0.04,430
466.30542,0.04,257
466.31293,0.04,508
466.32043,0.04,370
466.32794,0.04,123
466.33544,0.04,68
466.34295,0.04,39
466.35045,0.04,55
466.35796,0.04,10
466.36547,0.04,12
504.23664,0.04,72
510.31135,0.04,8
510.31920,0.04,16
510.32705,0.04,82
510.33490,0.04,50
512.21322,0.04,119
512.22108,0.04,256
512.22895,0.04,547
512.23682,0.04,485
512.24468,0.04,285
512.25255,0.04,48
712.32973,0.04,99
712.33901,0.04,106
712.34828,0.04,143
103.12519,0.08,121
103.12872,0.08,104
103.13225,0.08,57
103.13578,0.08,52
103.13931,0.08,73
103.14284,0.08,15
103.14637,0.08,19
103.14990,0.08,30
103.15343,0.08,2
103.15696,0.08,9
103.16049,0.08,4
103.16402,0.08,8
110.10086,0.08,41
118.13066,0.08,1
175.11111,0.08,361
175.12491,0.08,130
175.13411,0.08,43
175.13871,0.08,40
175.14331,0.08,0
175.14791,0.08,3
175.15251,0.08,21
175.15711,0.08,0
175.16171,0.08,48
175.16631,0.08,0
175.17091,0.08,16
175.17551,0.08,8
175.18011,0.08,0
175.18471,0.08,24
175.18931,0.08,10
208.02889,0.08,49
244.14926,0.08,290
244.15469,0.08,697
244.16012,0.08,586
244.16555,0.08,330
244.17098,0.08,178
244.17642,0.08,120
466.29041,0.08,445
466.29791,0.08,475
466.30542,0.08,280
466.31293,0.08,616
466.32043,0.08,364
466.32794,0.08,106
466.33544,0.08,100
466.34295,0.08,39
466.35045,0.08,38
466.35796,0.08,5
466.36547,0.08,12
466.37297,0.08,19
466.38048,0.08,6
488.36374,0.08,5
504.27567,0.08,6
504.28347,0.08,0
504.29128,0.08,4
510.32705,0.08,37
510.33490,0.08,9
512.21322,0.08,11
512.22108,0.08,14
512.22895,0.08,265
512.23682,0.08,189
512.24468,0.08,102
538.28309,0.08,16
538.29116,0.08,15
997.53870,0.08,35
997.54968,0.08,54
997.56066,0.08,97
997.57164,0.08,37
997.58261,0.08,31
997.59359,0.08,78
103.12519,0.12,121
103.12872,0.12,104
103.13225,0.12,57
103.13578,0.12,49
103.13931,0.12,106
103.14284,0.12,15
103.14637,0.12,19
103.14990,0.12,30
103.15343,0.12,2
